company_code,company_name,event_family,extractor_script,pdf_found,candidate_package_count,structured_record_count,error_count,review_required_count,schema_valid_count,schema_invalid_count,missing_package_count,status,missing_package_ids
603418,友升股份,subscription_flow,pipeline\extract_subscription_flow_frozen_v1.py,True,2,2,0,2,2,0,0,REVIEW_REQUIRED,
603418,友升股份,share_transfer_flow,pipeline\extract_share_transfer_flow_frozen_v1.py,True,1,1,0,1,0,1,0,REVIEW_REQUIRED,
603418,友升股份,equity_snapshot,pipeline\extract_equity_snapshot_v1.py,True,3,3,0,3,3,0,0,REVIEW_REQUIRED,
001282,三联锻造,subscription_flow,pipeline\extract_subscription_flow_frozen_v1.py,True,1,1,0,1,1,0,0,REVIEW_REQUIRED,
001282,三联锻造,share_transfer_flow,pipeline\extract_share_transfer_flow_frozen_v1.py,True,0,0,0,0,0,0,0,NO_EVENT,
001282,三联锻造,equity_snapshot,pipeline\extract_equity_snapshot_v1.py,True,3,3,0,3,3,0,0,REVIEW_REQUIRED,
688758,赛分科技,subscription_flow,pipeline\extract_subscription_flow_frozen_v1.py,True,3,3,0,3,3,0,0,REVIEW_REQUIRED,
688758,赛分科技,share_transfer_flow,pipeline\extract_share_transfer_flow_frozen_v1.py,True,2,2,0,2,0,2,0,REVIEW_REQUIRED,
688758,赛分科技,equity_snapshot,pipeline\extract_equity_snapshot_v1.py,True,4,4,0,4,4,0,0,REVIEW_REQUIRED,
920100,三协电机,subscription_flow,pipeline\extract_subscription_flow_frozen_v1.py,True,2,2,0,2,2,0,0,REVIEW_REQUIRED,
920100,三协电机,share_transfer_flow,pipeline\extract_share_transfer_flow_frozen_v1.py,True,0,0,0,0,0,0,0,NO_EVENT,
920100,三协电机,equity_snapshot,pipeline\extract_equity_snapshot_v1.py,True,3,3,0,3,3,0,0,REVIEW_REQUIRED,
920116,星图测控,subscription_flow,pipeline\extract_subscription_flow_frozen_v1.py,True,2,2,0,2,2,0,0,REVIEW_REQUIRED,
920116,星图测控,share_transfer_flow,pipeline\extract_share_transfer_flow_frozen_v1.py,True,1,1,0,1,0,1,0,REVIEW_REQUIRED,
920116,星图测控,equity_snapshot,pipeline\extract_equity_snapshot_v1.py,True,3,3,0,3,3,0,0,REVIEW_REQUIRED,
301581,黄山谷捷,subscription_flow,pipeline\extract_subscription_flow_frozen_v1.py,True,3,3,0,3,3,0,0,REVIEW_REQUIRED,
301581,黄山谷捷,share_transfer_flow,pipeline\extract_share_transfer_flow_frozen_v1.py,True,1,1,0,0,1,0,0,EXTRACTED,
301581,黄山谷捷,equity_snapshot,pipeline\extract_equity_snapshot_v1.py,True,3,3,0,3,3,0,0,REVIEW_REQUIRED,
301563,云汉芯城,subscription_flow,pipeline\extract_subscription_flow_frozen_v1.py,True,3,3,0,3,3,0,0,REVIEW_REQUIRED,
301563,云汉芯城,share_transfer_flow,pipeline\extract_share_transfer_flow_frozen_v1.py,True,4,4,0,4,0,4,0,REVIEW_REQUIRED,
301563,云汉芯城,equity_snapshot,pipeline\extract_equity_snapshot_v1.py,True,2,2,0,2,2,0,0,REVIEW_REQUIRED,
688775,影石创新,subscription_flow,pipeline\extract_subscription_flow_frozen_v1.py,True,0,0,0,0,0,0,0,NO_EVENT,
688775,影石创新,share_transfer_flow,pipeline\extract_share_transfer_flow_frozen_v1.py,True,1,1,0,1,0,1,0,REVIEW_REQUIRED,
688775,影石创新,equity_snapshot,pipeline\extract_equity_snapshot_v1.py,True,2,2,0,2,2,0,0,REVIEW_REQUIRED,
