package_id,field_path,status,gold_value,auto_value,note
301581_share_transfer_flow_001,event_family,MATCH,"""share_transfer_flow""","""share_transfer_flow""",
301581_share_transfer_flow_001,transfer_subtype,MATCH,"""internal_restructuring""","""internal_restructuring""",
301581_share_transfer_flow_001,target_company_name,MISMATCH,"""黄山谷捷金属制品有限公司（简称“谷捷有限”，发行人前身）""","""黄山谷捷散热科技有限公司""",值不一致
301581_share_transfer_flow_001,target_security_type,MATCH,"""equity_interest""","""equity_interest""",
301581_share_transfer_flow_001,target_is_issuer,MATCH,true,true,
301581_share_transfer_flow_001,currency,MATCH,"""CNY""","""CNY""",
301581_share_transfer_flow_001,pre_event_snapshot_present,MATCH,true,true,
301581_share_transfer_flow_001,post_event_snapshot_present,MATCH,true,true,
301581_share_transfer_flow_001,decision_date,MATCH,"{""iso_date"": ""2021-04-03"", ""raw_text"": ""2021年4月3日""}","{""iso_date"": ""2021-04-03"", ""raw_text"": ""2021年4月3日""}",
301581_share_transfer_flow_001,agreement_date,MATCH,"{""iso_date"": ""2021-04-03"", ""raw_text"": ""2021年4月3日""}","{""iso_date"": ""2021-04-03"", ""raw_text"": ""2021年4月3日""}",
301581_share_transfer_flow_001,payment_date,MATCH,null,null,
301581_share_transfer_flow_001,registration_date,MATCH,"{""iso_date"": ""2021-04-07"", ""raw_text"": ""2021年4月7日""}","{""iso_date"": ""2021-04-07"", ""raw_text"": ""2021年4月7日""}",
301581_share_transfer_flow_001,effective_date,MATCH,"{""iso_date"": ""2021-04-07"", ""raw_text"": ""2021年4月7日""}","{""iso_date"": ""2021-04-07"", ""raw_text"": ""2021年4月7日""}",
301581_share_transfer_flow_001,source_pages,MATCH,[42],[42],
301581_share_transfer_flow_001,pre_event_snapshot_pages,MATCH,[42],[42],
301581_share_transfer_flow_001,post_event_snapshot_pages,MATCH,[42],[42],
301581_share_transfer_flow_001,total_transferred_registered_capital,MATCH,"{""normalized_unit"": ""CNY"", ""normalized_value"": 10000000, ""raw_text"": ""1,000.00万元"", ""unit"": ""万元"", ""value"": 1000}","{""normalized_unit"": ""CNY"", ""normalized_value"": 10000000, ""raw_text"": ""1,000.00万元"", ""unit"": ""万元"", ""value"": 1000}",
301581_share_transfer_flow_001,total_transferred_shares,MATCH,null,null,
301581_share_transfer_flow_001,total_transferred_ratio,MATCH,"{""normalized_unit"": ""percent"", ""normalized_value"": 100, ""raw_text"": ""100.00%"", ""unit"": ""%"", ""value"": 100}","{""normalized_unit"": ""percent"", ""normalized_value"": 100, ""raw_text"": ""100.0%"", ""unit"": ""%"", ""value"": 100}",
301581_share_transfer_flow_001,total_consideration,MATCH,"{""normalized_unit"": ""CNY"", ""normalized_value"": 0, ""raw_text"": ""0元"", ""unit"": ""元"", ""value"": 0}","{""normalized_unit"": ""CNY"", ""normalized_value"": 0, ""raw_text"": ""0元"", ""unit"": ""元"", ""value"": 0}",
301581_share_transfer_flow_001,target_confirmation.confirmed_by,MISMATCH,"""issuer_alias""","""chapter_context""",值不一致
301581_share_transfer_flow_001,transfers.keys,MATCH,"[""昆山谷捷金属制品有限公司 -> 周斌"", ""昆山谷捷金属制品有限公司 -> 张俊武"", ""昆山谷捷金属制品有限公司 -> 黄山供销集团""]","[""昆山谷捷金属制品有限公司 -> 周斌"", ""昆山谷捷金属制品有限公司 -> 张俊武"", ""昆山谷捷金属制品有限公司 -> 黄山供销集团""]",
301581_share_transfer_flow_001,transfers[昆山谷捷金属制品有限公司 -> 周斌].payment_method,MATCH,"""zero_consideration""","""zero_consideration""",
301581_share_transfer_flow_001,transfers[昆山谷捷金属制品有限公司 -> 周斌].transferred_registered_capital,MATCH,"{""normalized_unit"": ""CNY"", ""normalized_value"": 1100000, ""raw_text"": ""110.00万元"", ""unit"": ""万元"", ""value"": 110}","{""normalized_unit"": ""CNY"", ""normalized_value"": 1100000, ""raw_text"": ""110万元"", ""unit"": ""万元"", ""value"": 110}",
301581_share_transfer_flow_001,transfers[昆山谷捷金属制品有限公司 -> 周斌].transferred_shares,MATCH,null,null,
301581_share_transfer_flow_001,transfers[昆山谷捷金属制品有限公司 -> 周斌].transferred_ratio,MATCH,"{""normalized_unit"": ""percent"", ""normalized_value"": 11, ""raw_text"": ""11.00%"", ""unit"": ""%"", ""value"": 11}","{""normalized_unit"": ""percent"", ""normalized_value"": 11, ""raw_text"": ""11.0%"", ""unit"": ""%"", ""value"": 11}",
301581_share_transfer_flow_001,transfers[昆山谷捷金属制品有限公司 -> 周斌].consideration,MATCH,"{""normalized_unit"": ""CNY"", ""normalized_value"": 0, ""raw_text"": ""0元"", ""unit"": ""元"", ""value"": 0}","{""normalized_unit"": ""CNY"", ""normalized_value"": 0, ""raw_text"": ""0元"", ""unit"": ""元"", ""value"": 0}",
301581_share_transfer_flow_001,transfers[昆山谷捷金属制品有限公司 -> 周斌].price_per_share,MATCH,null,null,
301581_share_transfer_flow_001,transfers[昆山谷捷金属制品有限公司 -> 周斌].price_per_registered_capital,MATCH,null,null,
