package_id,field_path,status,gold_value,auto_value,note
688775_equity_snapshot_002,event_family,MATCH,"""equity_snapshot""","""equity_snapshot""",
688775_equity_snapshot_002,snapshot_type,MATCH,"""pre_post_ipo_structure""","""pre_post_ipo_structure""",
688775_equity_snapshot_002,issuer_confirmed,MATCH,true,true,
688775_equity_snapshot_002,currency,MATCH,"""CNY""","""CNY""",
688775_equity_snapshot_002,snapshot_date,MATCH,null,null,
688775_equity_snapshot_002,source_pages,MATCH,"[98, 99]","[98, 99]",
688775_equity_snapshot_002,total_registered_capital,MATCH,null,null,
688775_equity_snapshot_002,total_shares,MISSING_AUTO,"{""normalized_unit"": ""share"", ""normalized_value"": 360000000, ""raw_text"": ""36,000.00万股"", ""unit"": ""万股"", ""value"": 36000.0}",null,自动结果缺少normalized_value
688775_equity_snapshot_002,total_ratio,MISSING_AUTO,"{""normalized_unit"": ""percent"", ""normalized_value"": 100.0, ""raw_text"": ""100.00%"", ""unit"": ""%"", ""value"": 100.0}",null,自动结果缺少normalized_value
688775_equity_snapshot_002,holders.names,MISSING_AUTO,"[""EARN ACE"", ""QM101"", ""中证投资"", ""伊敦传媒"", ""利得鑫投"", ""北京岚锋"", ""华金创盈"", ""华金同达"", ""厦门富凯"", ""天正投资"", ""威明投资"", ""山东龙兴（SS）"", ""岚沣管理"", ""岚烽管理"", ""朗玛九号"", ""朗玛五号"", ""朗玛六号"", ""朗玛十四号"", ""汇智同裕"", ""深圳麦高"", ""澜烽管理"", ""知盛投资"", ""芜湖旷沄"", ""金石智娱"", ""领誉基石"", ""香港迅雷""]",[],自动结果为空集合
688775_equity_snapshot_001,__record__,EXTRA_AUTO,null,"{""company_code"": ""688775"", ""company_name"": ""影石创新"", ""currency"": ""CNY"", ""event_family"": ""equity_snapshot"", ""event_id"": ""688775_equity_snapshot_001_evt_001"", ""event_title"": ""招股说明书签署日发行人股权关系图"", ""evidence"": [{""evidence_role"": ""other"", ""page"": 69, ""text"": ""三、公司的股权结构及组织结构（一）股权结构截至2024年12月31日，公司股权结构如下：\n影石创新科技股份有限公司招股说明书1-1-70注：截至本招股说明书签署日，刘靖康通过北京岚锋、岚沣管理、澜烽管理、岚烽管理、厦门富凯、汇智同裕、深圳麦高间接持有公司29.8891%的股份，系公司实际控制人。刘靖康配偶、一致行动人潘瑶通过厦门富凯、汇智同裕和深圳麦高间接持有公司0.00022%的股份。综上，公司实际控制人刘靖康及其一致行动人潘瑶合计间接持有公司29.8893%的股份。公司实际控制人刘靖康及其一致行动人潘瑶持有公司股份的具体情况参见本招股说明书“第四节公司基本情况”之“五、（一）控股股东及一致行动人、实际控制人的基本情况”之“3、实际控制人及一致行动人的基本情况”""}, {""evidence_role"": ""snapshot_date"", ""page"": 69, ""text"": ""2024年12月31日""}, {""evidence_role"": ""issuer_confirmation"", ""page"": 69, ""text"": ""正文出现发行人名称：影石创新""}], ""holders"": [], ""issuer_confirmation"": {""confirmed_by"": ""explicit_issuer_name"", ""raw_text"": ""正文出现发行人名称：影石创新""}, ""issuer_confirmed"": true, ""needs_manual_review"": true, ""notes"": ""V1基础抽取结果；无法稳定解析的表格进入人工复核队列，不静默丢失。"", ""package_id"": ""688775_equity_snapshot_001"", ""review_reasons"": [""holder_table_not_parsed""], ""schema_version"": ""1.0"", ""snapshot_date"": {""iso_date"": ""2024-12-31"", ""raw_text"": ""2024年12月31日""}, ""snapshot_type"": ""ownership_chart"", ""source_pages"": [69, 70], ""total_ratio"": null, ""total_registered_capital"": null, ""total_shares"": null}",同一公司自动结果没有对应Gold记录；不计入该Gold package字段准确率
